"Service Name","Port","Protocol","Description","Risk","DDoS Risk","Open Port Danger","Prepare for Open Port","Recommended Action"
"signet-ctf","2733","TCP","Signet CTF - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"signet-ctf","2733","UDP","Signet CTF - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"ccs-software","2734","TCP","CCS Software - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"ccs-software","2734","UDP","CCS Software - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"netiq-mc","2735","TCP","NetIQ Monitor Console - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"netiq-mc","2735","UDP","NetIQ Monitor Console - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"radwiz-nms-srv","2736","TCP","RADWIZ NMS SRV - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"radwiz-nms-srv","2736","UDP","RADWIZ NMS SRV - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"srp-feedback","2737","TCP","SRP Feedback - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"srp-feedback","2737","UDP","SRP Feedback - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"ndl-tcp-ois-gw","2738","TCP","NDL TCP-OSI Gateway - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"ndl-tcp-ois-gw","2738","UDP","NDL TCP-OSI Gateway - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"tn-timing","2739","TCP","TN Timing - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"tn-timing","2739","UDP","TN Timing - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"alarm","2740","TCP","Alarm - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"alarm","2740","UDP","Alarm - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"tsb","2741","TCP","TSB - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"tsb","2741","UDP","TSB - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"tsb2","2742","TCP","TSB2 - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"tsb2","2742","UDP","TSB2 - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"murx","2743","TCP","murx - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"murx","2743","UDP","murx - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"honyaku","2744","TCP","honyaku - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"honyaku","2744","UDP","honyaku - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"urbisnet","2745","TCP","URBISNET - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"urbisnet","2745","UDP","URBISNET - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"cpudpencap","2746","TCP","CPUDPENCAP - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"cpudpencap","2746","UDP","CPUDPENCAP - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"fjippol-swrly","2747","TCP","","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"fjippol-swrly","2747","UDP","","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"fjippol-polsvr","2748","TCP","","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"fjippol-polsvr","2748","UDP","","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"fjippol-cnsl","2749","TCP","","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"fjippol-cnsl","2749","UDP","","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"fjippol-port1","2750","TCP","","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"fjippol-port1","2750","UDP","","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"fjippol-port2","2751","TCP","","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"fjippol-port2","2751","UDP","","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"rsisysaccess","2752","TCP","RSISYS ACCESS - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"rsisysaccess","2752","UDP","RSISYS ACCESS - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"de-spot","2753","TCP","de-spot - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"de-spot","2753","UDP","de-spot - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"apollo-cc","2754","TCP","APOLLO CC - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"apollo-cc","2754","UDP","APOLLO CC - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"expresspay","2755","TCP","Express Pay - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"expresspay","2755","UDP","Express Pay - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"simplement-tie","2756","TCP","simplement-tie - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"simplement-tie","2756","UDP","simplement-tie - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"cnrp","2757","TCP","CNRP - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"cnrp","2757","UDP","CNRP - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"apollo-status","2758","TCP","APOLLO Status - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"apollo-status","2758","UDP","APOLLO Status - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"apollo-gms","2759","TCP","APOLLO GMS - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"apollo-gms","2759","UDP","APOLLO GMS - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"sabams","2760","TCP","Saba MS - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"sabams","2760","UDP","Saba MS - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"dicom-iscl","2761","TCP","DICOM ISCL - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"dicom-iscl","2761","UDP","DICOM ISCL - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"dicom-tls","2762","TCP","DICOM TLS - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"dicom-tls","2762","UDP","DICOM TLS - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"desktop-dna","2763","TCP","Desktop DNA - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"desktop-dna","2763","UDP","Desktop DNA - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"data-insurance","2764","TCP","Data Insurance - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"data-insurance","2764","UDP","Data Insurance - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"qip-audup","2765","TCP","qip-audup - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"qip-audup","2765","UDP","qip-audup - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"compaq-scp","2766","TCP","Compaq SCP - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"compaq-scp","2766","UDP","Compaq SCP - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"uadtc","2767","TCP","UADTC - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"uadtc","2767","UDP","UADTC - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"uacs","2768","TCP","UACS - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"uacs","2768","UDP","UACS - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"exce","2769","TCP","eXcE - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"exce","2769","UDP","eXcE - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"veronica","2770","TCP","Veronica - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"veronica","2770","UDP","Veronica - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"vergencecm","2771","TCP","Vergence CM - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"vergencecm","2771","UDP","Vergence CM - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"auris","2772","TCP","auris - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"auris","2772","UDP","auris - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"rbakcup1","2773","TCP","RBackup Remote Backup - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"rbakcup1","2773","UDP","RBackup Remote Backup - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"rbakcup2","2774","TCP","RBackup Remote Backup - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"rbakcup2","2774","UDP","RBackup Remote Backup - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"smpp","2775","TCP","SMPP - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"smpp","2775","UDP","SMPP - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"ridgeway1","2776","TCP","Ridgeway Systems & Software - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"ridgeway1","2776","UDP","Ridgeway Systems & Software - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"ridgeway2","2777","TCP","Ridgeway Systems & Software - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"ridgeway2","2777","UDP","Ridgeway Systems & Software - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"gwen-sonya","2778","TCP","Gwen-Sonya - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"gwen-sonya","2778","UDP","Gwen-Sonya - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"lbc-sync","2779","TCP","LBC Sync - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"lbc-sync","2779","UDP","LBC Sync - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"lbc-control","2780","TCP","LBC Control - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"lbc-control","2780","UDP","LBC Control - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"whosells","2781","TCP","whosells - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"whosells","2781","UDP","whosells - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"everydayrc","2782","TCP","everydayrc - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"everydayrc","2782","UDP","everydayrc - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"aises","2783","TCP","AISES - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"aises","2783","UDP","AISES - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"www-dev","2784","TCP","world wide web - development - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"www-dev","2784","UDP","world wide web - development - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"aic-np","2785","TCP","aic-np - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"aic-np","2785","UDP","aic-np - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"aic-oncrpc","2786","TCP","aic-oncrpc - Destiny MCD database - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"aic-oncrpc","2786","UDP","aic-oncrpc - Destiny MCD database - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"piccolo","2787","TCP","piccolo - Cornerstone Software - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"piccolo","2787","UDP","piccolo - Cornerstone Software - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"fryeserv","2788","TCP","NetWare Loadable Module - Seagate Software - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"fryeserv","2788","UDP","NetWare Loadable Module - Seagate Software - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"media-agent","2789","TCP","Media Agent - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"media-agent","2789","UDP","Media Agent - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"plgproxy","2790","TCP","PLG Proxy - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"plgproxy","2790","UDP","PLG Proxy - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"mtport-regist","2791","TCP","MT Port Registrator - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"mtport-regist","2791","UDP","MT Port Registrator - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"f5-globalsite","2792","TCP","f5-globalsite - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"f5-globalsite","2792","UDP","f5-globalsite - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"initlsmsad","2793","TCP","initlsmsad - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"initlsmsad","2793","UDP","initlsmsad - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"livestats","2795","TCP","LiveStats - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"livestats","2795","UDP","LiveStats - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"ac-tech","2796","TCP","ac-tech - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"ac-tech","2796","UDP","ac-tech - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"esp-encap","2797","TCP","esp-encap - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"esp-encap","2797","UDP","esp-encap - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"tmesis-upshot","2798","TCP","TMESIS-UPShot - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"tmesis-upshot","2798","UDP","TMESIS-UPShot - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"icon-discover","2799","TCP","ICON Discover - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"icon-discover","2799","UDP","ICON Discover - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"acc-raid","2800","TCP","ACC RAID - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"acc-raid","2800","UDP","ACC RAID - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"igcp","2801","TCP","IGCP - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"igcp","2801","UDP","IGCP - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"veritas-tcp1","2802","TCP","Veritas TCP1 - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"veritas-udp1","2802","UDP","Veritas UDP1 - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"btprjctrl","2803","TCP","btprjctrl - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"btprjctrl","2803","UDP","btprjctrl - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"dvr-esm","2804","TCP","March Networks Digital Video Recorders and Enterprise Service Manager products - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"dvr-esm","2804","UDP","March Networks Digital Video Recorders and Enterprise Service Manager products - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"wta-wsp-s","2805","TCP","WTA WSP-S - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"wta-wsp-s","2805","UDP","WTA WSP-S - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"cspuni","2806","TCP","cspuni - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
